city,cloudiness,country,date,humidity,lat,lng,temp,windspeed
grindavik,75.0,IS,1596468789.0,81.0,63.84,-22.43,50.0,8.05
busselton,84.0,AU,1596468840.0,76.0,-33.65,115.33,48.99,8.81
los llanos de aridane,20.0,ES,1596468743.0,69.0,28.66,-17.92,77.0,19.46
reguengos de monsaraz,20.0,PT,1596469133.0,27.0,38.43,-7.53,97.0,17.22
taolanaro,,,,,,,,
vila velha,75.0,BR,1596468707.0,57.0,-20.33,-40.29,75.2,6.93
norman wells,20.0,CA,1596468891.0,88.0,65.28,-126.83,64.4,4.7
tiksi,6.0,RU,1596468750.0,93.0,71.69,128.87,40.89,6.02
khatanga,59.0,RU,1596468837.0,81.0,71.97,102.5,61.54,6.76
butaritari,1.0,KI,1596468751.0,75.0,3.07,172.79,82.69,18.7
kodiak,90.0,US,1596468752.0,87.0,57.79,-152.41,53.6,4.7
aykhal,0.0,RU,1596469022.0,45.0,66.0,111.5,66.2,6.71
vaini,75.0,TO,1596468740.0,100.0,-21.2,-175.2,71.6,11.41
east london,0.0,ZA,1596469134.0,9.0,-33.02,27.91,91.4,10.29
bredasdorp,0.0,ZA,1596469134.0,52.0,-34.53,20.04,68.0,14.99
cerritos,20.0,US,1596469053.0,73.0,33.86,-118.06,73.99,2.82
rikitea,44.0,PF,1596469134.0,82.0,-23.12,-134.97,73.22,17.38
alice springs,0.0,AU,1596469082.0,27.0,-23.7,133.88,50.0,3.36
jamestown,75.0,US,1596469135.0,77.0,42.1,-79.24,75.0,8.05
arraial do cabo,20.0,BR,1596468849.0,50.0,-22.97,-42.03,75.2,8.05
cidreira,83.0,BR,1596469135.0,62.0,-30.18,-50.21,72.0,3.24
yulara,0.0,AU,1596469135.0,19.0,-25.24,130.99,46.4,2.21
puerto ayora,40.0,EC,1596468835.0,78.0,-0.74,-90.35,73.4,20.8
iqaluit,75.0,CA,1596469135.0,81.0,63.75,-68.51,50.0,5.82
provideniya,96.0,RU,1596469135.0,74.0,64.38,-173.3,45.86,2.33
punta arenas,20.0,CL,1596469135.0,70.0,-53.15,-70.92,46.4,28.86
ushuaia,40.0,AR,1596469135.0,43.0,-54.8,-68.3,50.0,20.8
westport,1.0,US,1596469091.0,58.0,41.14,-73.36,84.99,16.11
suntar,2.0,RU,1596469135.0,62.0,62.14,117.63,58.15,5.41
shimoda,55.0,JP,1596469136.0,90.0,34.67,138.95,72.0,1.01
cape town,20.0,ZA,1596468880.0,72.0,-33.93,18.42,64.99,11.41
illoqqortoormiut,,,,,,,,
longyearbyen,90.0,SJ,1596469087.0,93.0,78.22,15.64,46.4,5.82
namatanai,2.0,PG,1596469136.0,81.0,-3.67,152.43,79.32,6.67
hobart,90.0,AU,1596469099.0,86.0,-42.88,147.33,39.99,3.36
hermanus,1.0,ZA,1596469136.0,72.0,-34.42,19.23,64.0,5.01
albany,100.0,US,1596468723.0,47.0,42.6,-73.97,80.01,1.99
cherskiy,40.0,RU,1596468754.0,96.0,68.75,161.3,38.25,8.19
narsaq,75.0,GL,1596468783.0,93.0,60.92,-46.05,48.2,3.36
chernyshevskiy,86.0,RU,1596469136.0,76.0,63.01,112.47,56.8,3.51
yellowknife,75.0,CA,1596468686.0,73.0,62.46,-114.35,73.0,12.75
manacapuru,20.0,BR,1596469137.0,46.0,-3.3,-60.62,91.4,5.82
perth,20.0,AU,1596468908.0,93.0,-31.93,115.83,48.0,6.93
chokurdakh,100.0,RU,1596468793.0,72.0,70.63,147.92,45.99,4.56
jawhar,81.0,SO,1596469137.0,69.0,2.78,45.5,77.58,18.86
barpathar,93.0,IN,1596469137.0,84.0,26.3,93.87,83.19,0.83
barentsburg,,,,,,,,
hovd,26.0,MN,1596469137.0,50.0,48.01,91.64,62.28,1.05
port elizabeth,0.0,ZA,1596468745.0,82.0,-33.92,25.57,64.4,20.8
boden,100.0,SE,1596468748.0,59.0,65.83,21.69,64.4,8.05
poum,92.0,NC,1596469048.0,60.0,-20.23,164.02,69.87,4.56
amderma,,,,,,,,
port hardy,90.0,CA,1596468776.0,100.0,50.7,-127.42,59.0,5.82
castro,16.0,BR,1596468775.0,47.0,-24.79,-50.01,67.87,3.2
dzhankoy,0.0,UA,1596469138.0,46.0,45.72,34.4,75.16,6.49
mataura,100.0,NZ,1596468736.0,92.0,-46.19,168.86,43.21,2.35
lorengau,9.0,PG,1596468777.0,83.0,-2.02,147.27,82.4,14.25
williston,0.0,US,1596469062.0,55.0,48.15,-103.62,71.01,5.01
gidole,92.0,ET,1596469139.0,63.0,5.65,37.37,63.19,6.53
port alfred,0.0,ZA,1596468747.0,73.0,-33.59,26.89,65.59,15.1
takhtamygda,100.0,RU,1596469140.0,93.0,54.1,123.57,57.38,6.82
kampene,0.0,CD,1596469140.0,25.0,-3.6,26.67,85.5,2.17
barrow,90.0,US,1596468764.0,88.0,71.29,-156.79,32.0,9.17
leh,3.0,IN,1596468770.0,23.0,34.17,77.58,68.23,6.15
ca mau,99.0,VN,1596469053.0,91.0,9.18,105.15,77.81,3.94
grand river south east,,,,,,,,
lebu,42.0,CL,1596468745.0,81.0,-37.62,-73.65,54.72,15.86
georgetown,20.0,MY,1596468562.0,74.0,5.41,100.34,86.0,3.36
zhangjiakou,9.0,CN,1596469141.0,53.0,40.81,114.88,71.06,3.0
angouleme,75.0,FR,1596469142.0,49.0,45.65,0.15,75.0,12.75
kununurra,14.0,AU,1596469024.0,73.0,-15.77,128.73,60.8,2.55
sakura,20.0,JP,1596469142.0,94.0,35.72,140.23,73.99,2.24
atuona,1.0,PF,1596468740.0,74.0,-9.8,-139.03,78.49,16.06
ituni,,,,,,,,
hasaki,20.0,JP,1596468804.0,94.0,35.73,140.83,73.99,2.24
oromocto,90.0,CA,1596468964.0,88.0,45.84,-66.48,75.0,6.93
clyde river,90.0,CA,1596468756.0,93.0,70.47,-68.59,46.4,5.82
mys shmidta,,,,,,,,
yvoir,40.0,BE,1596469143.0,35.0,50.33,4.88,71.6,6.93
lapeer,90.0,US,1596468891.0,88.0,43.05,-83.32,72.0,3.36
gat,0.0,IL,1596468803.0,57.0,31.61,34.76,88.0,3.0
bluff,100.0,NZ,1596468734.0,81.0,-46.6,168.33,46.96,8.05
snezhnogorsk,75.0,RU,1596469143.0,93.0,69.19,33.25,50.0,4.47
bulungu,61.0,CD,1596469143.0,24.0,-4.55,18.6,91.96,4.27
kruisfontein,11.0,ZA,1596468761.0,64.0,-34.0,24.73,66.0,11.88
evensk,2.0,RU,1596468854.0,58.0,61.95,159.23,51.49,11.1
kadykchan,,,,,,,,
boa vista,75.0,BR,1596469025.0,58.0,2.82,-60.67,87.8,4.7
homer,90.0,US,1596468965.0,93.0,59.64,-151.55,55.4,3.24
hukuntsi,0.0,BW,1596469144.0,25.0,-24.0,21.75,64.76,8.88
batagay-alyta,53.0,RU,1596469054.0,75.0,67.8,130.41,51.66,5.08
cockburn town,20.0,TC,1596468764.0,70.0,21.46,-71.14,86.0,11.41
kaitangata,99.0,NZ,1596468767.0,83.0,-46.28,169.85,48.99,4.0
faanui,2.0,PF,1596468784.0,75.0,-16.48,-151.75,78.1,10.02
ponta do sol,20.0,PT,1596468744.0,54.0,32.67,-17.1,78.8,25.28
kango,98.0,GA,1596469144.0,56.0,0.19,10.1,82.98,6.24
thinadhoo,100.0,MV,1596469144.0,77.0,0.53,72.93,83.23,10.07
novopokrovka,15.0,UA,1596469144.0,38.0,49.84,36.55,75.2,6.71
